iter	RMSE
0	44.45292989
1	42.2589098
2	40.16731723
3	38.18861393
4	36.30341996
5	34.52035522
6	32.83707
7	31.24270802
8	29.71112722
9	28.25466113
10	26.87237125
11	25.56209285
12	24.30971231
13	23.13602398
14	22.00442883
15	20.93510985
16	19.91678613
17	18.94362395
18	18.02206786
19	17.15057348
20	16.32625517
21	15.54433708
22	14.79971689
23	14.08911197
24	13.41247832
25	12.76974575
26	12.15822763
27	11.58168085
28	11.03710136
29	10.51852586
30	10.03113836
31	9.565872058
32	9.123265502
33	8.703347752
34	8.308193275
35	7.931080265
36	7.575172314
37	7.240331843
38	6.924331754
39	6.623283258
40	6.342272738
41	6.07308405
42	5.819071388
43	5.581530213
44	5.356701627
45	5.143402664
46	4.946570528
47	4.760325345
48	4.583590535
49	4.417940266
50	4.26151112
51	4.114560047
52	3.979052648
53	3.85176494
54	3.734192572
55	3.621710327
56	3.51812393
57	3.423676218
58	3.334651895
59	3.250066363
60	3.172865928
61	3.099815241
62	3.033556987
63	2.972755294
64	2.91626338
65	2.861962511
66	2.813032332
67	2.76718818
68	2.72410736
69	2.685262967
70	2.648509932
71	2.61511023
72	2.585100158
73	2.553930136
74	2.527424901
75	2.503942857
76	2.478251249
77	2.4580349
78	2.439068666
79	2.418829852
80	2.40255425
81	2.387782198
82	2.369238928
83	2.355833462
84	2.339551339
85	2.328980677
86	2.319389324
87	2.309496966
88	2.296449229
89	2.286789894
90	2.279983796
91	2.271558458
92	2.26338798
93	2.254450707
94	2.244994165
95	2.239650602
96	2.230327639
97	2.225933211
98	2.21998652
99	2.214327839
100	2.20897557
101	2.204535507
102	2.199244958
103	2.195718649
104	2.192771953
105	2.189984124
106	2.18361937
107	2.177404421
108	2.169927652
109	2.167289679
110	2.164858472
111	2.163097647
112	2.1600092
113	2.158540643
114	2.154305442
115	2.152155728
116	2.148826764
117	2.147014059
118	2.141902998
119	2.137030261
120	2.134397147
121	2.128884784
122	2.126616555
123	2.125446183
124	2.120529448
125	2.115046371
126	2.108640203
127	2.107212218
128	2.10598295
129	2.101392422
130	2.100544352
131	2.097403733
132	2.094638717
133	2.09166242
134	2.091264698
135	2.087742517
136	2.086472881
137	2.082026462
138	2.080021645
139	2.075411299
140	2.074500068
141	2.071879199
142	2.065185945
143	2.064018518
144	2.063765787
145	2.060962172
146	2.059418523
147	2.057075351
148	2.054976384
149	2.053233309
150	2.047682381
151	2.046603221
152	2.043514707
153	2.041312795
154	2.039025381
155	2.036829264
156	2.035453007
157	2.032977229
158	2.028275343
159	2.026565452
160	2.025062301
161	2.021860224
162	2.020140546
163	2.017512225
164	2.016002484
165	2.012522808
166	2.010697987
167	2.008897574
168	2.008438615
169	2.007550858
170	2.00504018
171	2.003468787
172	2.002013843
173	2.00056289
174	2.000367663
175	1.99784091
176	1.995116017
177	1.99122704
178	1.989981891
179	1.989079975
180	1.986779219
181	1.986200862
182	1.983907228
183	1.983513844
184	1.980809527
185	1.978713059
186	1.976671229
187	1.975922013
188	1.974093843
189	1.97128542
190	1.969213161
191	1.968839746
192	1.9649964
193	1.960541637
194	1.958190385
195	1.956650985
196	1.955032349
197	1.953678588
198	1.95184103
199	1.95001282
200	1.948095711
201	1.945008319
202	1.944612009
203	1.944242568
204	1.943263496
205	1.941930114
206	1.94169672
207	1.9403449
208	1.94005184
209	1.936302077
210	1.934974293
211	1.934059548
212	1.930088782
213	1.928399435
214	1.926222331
215	1.925503323
216	1.924566668
217	1.922376522
218	1.921553453
219	1.920185222
220	1.917927483
221	1.916679973
222	1.915106504
223	1.913542298
224	1.909957458
225	1.909142458
226	1.907801003
227	1.903993799
228	1.899053818
229	1.895622017
230	1.895219084
231	1.893512889
232	1.893247689
233	1.890142641
234	1.890009069
235	1.888321315
236	1.887842755
237	1.887096159
238	1.886769889
239	1.886718577
240	1.886077489
241	1.884479323
242	1.883791367
243	1.881832699
244	1.881332158
245	1.881291098
246	1.880729848
247	1.880462293
248	1.878596275
249	1.878426948
250	1.877321316
251	1.876743166
252	1.875596407
253	1.874336273
254	1.873615267
255	1.873371334
256	1.873317159
257	1.868556767
258	1.867455621
259	1.86743977
260	1.864468056
261	1.863005798
262	1.861608137
263	1.858661127
264	1.854818475
265	1.851423892
266	1.849761197
267	1.847897844
268	1.847501865
269	1.846357995
270	1.845274097
271	1.845078966
272	1.843229278
273	1.841759753
274	1.840227453
275	1.838661054
276	1.837043488
277	1.835898292
278	1.835515756
279	1.833858545
280	1.83286401
281	1.829579146
282	1.829476009
283	1.829415683
284	1.829401689
285	1.828884372
286	1.826750893
287	1.826448787
288	1.824974462
289	1.820588252
290	1.818790554
291	1.818009224
292	1.815487662
293	1.813946635
294	1.813674111
295	1.810615967
296	1.806513624
297	1.805533056
298	1.803966052
299	1.802199357
300	1.800645357
301	1.797755335
302	1.797491289
303	1.796072138
304	1.794987737
305	1.794383551
306	1.790249492
307	1.790215305
308	1.788206584
309	1.787037301
310	1.785370043
311	1.785185489
312	1.782360398
313	1.782294429
314	1.780903544
315	1.779643409
316	1.778167538
317	1.77809841
318	1.777112842
319	1.77562865
320	1.772721273
321	1.772579382
322	1.771108404
323	1.770920037
324	1.770848984
