exp_id,features,model,cv_mean,cv_std,cv_folds,lb_score,notes
1,All_v1,lightgbm,0.956074,0.640127,"[np.float64(1.056709), np.float64(1.684889), np.float64(0.126623)]",,"params={'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 8, 'num_leaves': 63, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'min_child_samples': 20, 'random_state': 42, 'verbose': -1, 'n_jobs': -1}"
1,All_v1,lightgbm,0.956074,0.640127,"[np.float64(1.056709), np.float64(1.684889), np.float64(0.126623)]",,"params={'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 8, 'num_leaves': 63, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'min_child_samples': 20, 'random_state': 42, 'verbose': -1, 'n_jobs': -1}"
2,All_v1,catboost,0.855204,0.565776,"[np.float64(0.757036), np.float64(1.591985), np.float64(0.216591)]",,"params={'iterations': 2000, 'learning_rate': 0.05, 'depth': 8, 'l2_leaf_reg': 3.0, 'random_seed': 42, 'verbose': 100, 'loss_function': 'RMSE', 'eval_metric': 'RMSE', 'early_stopping_rounds': 100}"
3,All_v1,xgboost,0.876996,0.412738,"[np.float64(0.933116), np.float64(1.352093), np.float64(0.345779)]",,"params={'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 8, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'random_state': 42, 'n_jobs': -1, 'verbosity': 0}"
1,All_v1,lightgbm,1.8227,1.105666,"[np.float64(3.307925), np.float64(1.503556), np.float64(0.65662)]",,"params={'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 8, 'num_leaves': 63, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'min_child_samples': 20, 'random_state': 42, 'verbose': -1, 'n_jobs': -1}"
2,All_v1,catboost,3.484634,2.981711,"[np.float64(7.578718), np.float64(2.312099), np.float64(0.563086)]",,"params={'iterations': 2000, 'learning_rate': 0.05, 'depth': 8, 'l2_leaf_reg': 3.0, 'random_seed': 42, 'verbose': 100, 'loss_function': 'RMSE', 'eval_metric': 'RMSE', 'early_stopping_rounds': 100}"
3,All_v1,xgboost,3.760178,2.402091,"[np.float64(7.13238), np.float64(2.429391), np.float64(1.718762)]",,"params={'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 8, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'random_state': 42, 'n_jobs': -1, 'verbosity': 0}"
1,All_v1,lightgbm,1.662559,0.948808,"[np.float64(2.883678), np.float64(1.533671), np.float64(0.570329)]",,"params={'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 8, 'num_leaves': 63, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'min_child_samples': 20, 'random_state': 42, 'verbose': -1, 'n_jobs': -1}"
1,All_v1,lightgbm,1.662559,0.948808,"[np.float64(2.883678), np.float64(1.533671), np.float64(0.570329)]",,"params={'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 8, 'num_leaves': 63, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'min_child_samples': 20, 'random_state': 42, 'verbose': -1, 'n_jobs': -1}"
2,All_v1,catboost,3.333507,2.952792,"[np.float64(7.420234), np.float64(2.033424), np.float64(0.546862)]",,"params={'iterations': 2000, 'learning_rate': 0.05, 'depth': 8, 'l2_leaf_reg': 3.0, 'random_seed': 42, 'verbose': 100, 'loss_function': 'RMSE', 'eval_metric': 'RMSE', 'early_stopping_rounds': 100}"
