iter	RMSE
0	2.593315094
1	2.577346624
2	2.561352876
3	2.547994544
4	2.534694473
5	2.525052982
6	2.50934295
7	2.49810829
8	2.488314125
9	2.478515047
10	2.470583055
11	2.463532454
12	2.456672827
13	2.450547779
14	2.442637331
15	2.436155106
16	2.431394554
17	2.42479662
18	2.419365115
19	2.414779697
20	2.40938361
21	2.404115215
22	2.399614462
23	2.395673522
24	2.39213323
25	2.388510607
26	2.383235635
27	2.380483365
28	2.372958408
29	2.369893857
30	2.367002262
31	2.364160493
32	2.359173618
33	2.352760313
34	2.350137793
35	2.347240724
36	2.344350104
37	2.341904582
38	2.340139809
39	2.33647431
40	2.334774119
41	2.331188478
42	2.328675124
43	2.326810658
44	2.322043387
45	2.32022896
46	2.318459491
47	2.315550039
48	2.309390162
49	2.304366552
50	2.302013469
51	2.296555756
52	2.291772158
53	2.290322104
54	2.288342856
55	2.287584306
56	2.286177874
57	2.284448053
58	2.281067933
59	2.278839853
60	2.276306867
61	2.271972294
62	2.271000891
63	2.269469126
64	2.268059734
65	2.266948029
66	2.265276055
67	2.261503533
68	2.260049574
69	2.258021995
70	2.256152716
71	2.254270423
72	2.252290667
73	2.249100223
74	2.24607132
75	2.244471807
76	2.24282977
77	2.239728257
