iter	Passed	Remaining
0	105	158668
1	234	175490
2	358	178836
3	436	163125
4	519	155474
5	609	151749
6	697	148782
7	785	146434
8	895	148278
9	987	147154
10	1093	148031
11	1226	152113
12	1311	149968
13	1401	148808
14	1491	147618
15	1579	146538
16	1665	145329
17	1755	144500
18	1845	143886
19	1930	142854
20	2022	142474
21	2111	141884
22	2279	146366
23	2440	150114
24	2531	149338
25	2626	148884
26	2719	148371
27	2807	147610
28	2899	147053
29	2987	146373
30	3078	145887
31	3161	145017
32	3251	144548
33	3337	143894
34	3451	144474
35	3579	145558
36	3666	144972
37	3757	144546
38	3855	144417
39	3950	144210
40	4041	143808
41	4126	143242
42	4212	142747
43	4299	142280
44	4393	142072
45	4482	141698
46	4568	141219
47	4712	142558
48	4828	142993
49	4916	142574
50	5004	142191
51	5087	141676
52	5177	141346
53	5266	141030
54	5354	140683
55	5441	140309
56	5527	139941
57	5614	139584
58	5702	139285
59	5789	138950
60	5908	139383
61	6038	140065
62	6131	139849
63	6226	139718
64	6318	139503
65	6407	139215
66	6494	138908
67	6576	138493
68	6670	138341
69	6755	138009
70	6842	137711
71	6928	137407
72	7014	137115
73	7136	137531
74	7240	137564
75	7330	137355
76	7421	137147
77	7510	136918
